Name of press / initiative,Introduction,Year established,Location,Region,Geocoordinates,Link
Illographo Press,"Illographo Press is an independent micro press – publishing art and photo books, poetry chapbooks, and zines – run by Aphrodite D., a Filipina multidisciplinary creative who is passionate about using the art of publication to create equity and empower creativity in Greater Western Sydney and beyond. Aphrodite is a Design (Visual Communication) alumna from Western Sydney University and an experienced designer, illustrator and printer, hence the name Illo + grapho + Press. During the COVID lockdowns in 2021, Aph started producing poetry zines, photo books and anthologies featuring a diverse community of creatives. She fell in love with the process of publishing – turning a creative idea into a tangible piece of art, thus, Illographo Press was born. Since then, Illographo Press publications have been showcased at various exhibitions and stocked at independent bookstores in Australia and abroad.",2021,"Sydney, Australia",Oceania,"-33.8727, 151.2057",https://aphrodited.info/illographo-press
Insititute of Critical Zoologists,"Founded in 2008, this institute uses experimentation, creativity and investigation in Asia, as well as the Indian Ocean and the United States, to explore the human-nature relationship through real-life cases: for instance, the last wild cow from Singapore to die in 2016; migrations of godwits and great knots over the skies of the Yalu River estuary, marking the border between China and North Korea; the eradication of spotted frogs that invade the rivers of Taipei; or the interactions between human and nature in urban environments… Each research topic is showcased in a publication, documents, narrative, or through an exhibition. The institute also has an extremely unusual collection, viewed by appointment. It brings together unusual objects centred around these animals: an edible scorpion in a vodka lollipop, a mountain crab pinned in a decorative frame, newts in a keychain… This artificial institute with a sense of humour is the long-term project of its founder. Former animal activist Robert Zhao Renhui was born in 1983 in Singapore, where he lives and works today. One of the most relevant artists of his generation, he is also a leading biodiversity expert. The Institute of Critical Zoologists has established itself up as an incredibly valuable manifesto, a kind of documentary in the form of a curiosity cabinet. It explores the living confronted with our species and its most insidious idiosyncrasies, from the eradication of those species labelled ‘harmful’ to the marketing of other we consider ideal for transforming into keychains. A significant project-artwork.",2008,Singapore,Southeast Asia,"1.3521, 103.8198",https://www.criticalzoologists.org/journal.html
The Institute of Modern Art (IMA),"The Institute of Modern Art (IMA) is one of the Asia-Pacific’s most important, visible, and relevant forums for contemporary visual art. The IMA champions contemporary art, artists, and ideas, connecting local voices to global dialogues via inclusive, sustainable, and innovative institutional practice. Founded in 1975, the IMA is Australia’s oldest independent public art gallery and has been at the centre of the Queensland arts ecology for 48 years. The IMA’s reputation for experimentation, care, and criticality is a legacy we proudly continue. Our exhibitions, events, publications, education program, touring exhibitions, and off-site projects connect us with artists and audiences from Queensland, Australia, and around the world.",1975,"Brisbane, Australia",Oceania,"-27.4705, 153.0260",https://www.ima.org.au/
inner loop press,"inner loop press is a risograph printing press operated by Tanya Brassie in Philadelphia, PA. It primarily publishes educational zines on topics related to the environment, technology and society, as well as posters and lighter fair. inner loop press is a small-batch Risograph press located in Philadelphia operated by designer and software engineer Tanya Brassie. Its operating principle is to publish information as art, using design and print to present topics related to modern society (infrastructure, pollution, technology, etc.) in an accessible and engaging format. Recent publications include: the Toxic Lagoons series, a series of zines investigating Superfund sites across the United States, Space Trash, a zine dedicated to the consequences of space exploration and Data Centers, a zine that takes users through a data center to learn about this critical piece of hidden infrastructure. inner loop also publishes lighter fare, such as User Friendly, an annual catalog of web components peddled by the imaginary User Friendly corporation (catalog 2 coming soon!), ""self-help"" pamphlets, and abstract artists' books on topics such as the desert, cyberspace and materials.",,"Philadelphia, US",North America,"39.9526, -75.1652",https://innerloop.press/
Incendium Radical Library Press,"Incendium Radical Library Press is an independant publisher run out of the library. The press prioritises critical and experience-based perspectives of the world, and attemps to center marginalised voices. The press is founded with a belief in the transformative potential of reading and writing with community. IRL is a collectively run independent community space and infoshop. We are an eclectic mix of people from diverse backgrounds, experiences and interests but we all believe that what is happening in our lives and all around us needs to be challenged. We want to create a space where we can make connections with other people and find ways to do this. We live on stolen land, in a place where Indigenous ways of knowing and living are constantly attacked. Many First Nations peoples are living in poverty, many children are taken from their families and police harassment and violence for some people is a common experience. The waiting list for public housing is ridiculous, community housing barely exists, rent is rising constantly, leases are insecure and short and homelessness is increasing. People are imprisoned indefinitely by the Australian government for trying to find safety here. Trauma and mental health affect many people, and suicide is too common. Family violence happens across all communities at astonishing rates and many women (particularly trans women and First Nations women) and children are hurt by those closest to them. The oceans are filling up with plastic, the western grasslands of Victoria are being destroyed by urban sprawl and animals and plants are going extinct. The world is heating up in a scary way. Many of us spend so much time working, doing things that mean very little to us until we can't even imagine what it is we would actually want to be doing. For some of us it's hard to meet people and easy to feel isolated and alone. These are just some of the things that affect us in deep and different ways. We don't have answers, sometimes everything feels overwhelming and it's hard to know what to do. However we want to create a space where people can learn, challenge and disrupt the systems that maintain oppression and imagine other possibilities for how the world could be. We are interested in learning through stories of people and communities, from various theories, from perspectives based on histories that explore self-determination, collective care and organising. We hope to create networks of solidarity and support people experiencing and resisting oppression. We hope that at IRL, people will come together, organise and run things themselves. We want the space to be used to discuss ideas, challenge each other and our understandings of ourselves and the world, learn through these experiences, and share skills and thoughts but also be a place to meet people, have fun, relax, laugh, hang out, and do things that are exciting. ",,"Kulin Nation, Australia",Oceania,"-32.6668, 118.1580",
Inter-Asia Woodcut Mapping Group,Mapping on the development of self-organized woodcut collectives in inter-Asian context,2018,Hong Kong,East Asia,"22.3193, 114.1694",https://www.instagram.com/mapping_woodblock/
The Invisible Archive,"As a creative research journal, The Invisible Archive (TIA) is committed to creating a dialogue that investigates how ideas on performativity and embodiment complicate and inform the conventions under which art is made, shared, and understood. By manifesting new relationships between rigorous writing and the radical nature of time itself, the journal critically documents the unique experiences and knowledge produced by cultural workers and artists who primarily work through performance, time-based strategies, and who use their bodies for social, ecological, and political change. The journal is especially interested in discussing the invisible labor, politics, and challenges attached to practices that are vulnerable due to their ephemeral nature, institutional neglect, cultural bias, or politically unpopular content.  For each issue, TIA invites a different writer who explores the work of a person/collective of their choice. The journal offers two volumes - Vol. Los Angeles and Vol. Berlin -  and the issues are published in limited edition prints at irregular intervals through close collaborations between the artists, writers, editors, peer reviewers, and advisors. The journal presents a community-led archive, which relies on the shared information and collaboration of its contributors. We operate as an independent platform that is self-funded, self-published, and self-organized. Editorial, economic and artistic independence is crucial as we continuously strive to develop a structure that responds to and draws directly from a place that makes up our community. We seek to counterbalance the limitations of commercial, institutional or academic publishing by offering our contributors a playground for creativity, conversation, thinking, and performative writing. ",,"Berlin, Germany",Europe,"52.5200, 13.4050",https://www.invisiblearchive.com/
iwalewabooks,"iwalewabooks ​is a publishing house for art, discourse and archives. We dedicate our publications to:​ aesthetic discourses, the politics of collecting and archiving, pleasure politics. Creating books is an aesthetic and collective endeavour. Many volumes are produced in collaboration with cultural workers, artists, collectives, activists and academics, mainly from the Global South.",,"Lagos, Nigeria",Africa,"6.6137, 3.3553",https://www.iwalewabooks.com/
Islam Aly,"Islam is a book artist and lecturer of bookbinding at the German University in Cairo. He earned both his Bachelor’s and Master’s degrees in Art Education from Helwan University, and later pursued an MFA in Book Arts at the University of Iowa, where he refined his artistic focus. He went on to complete a Ph.D. in Teaching and Learning with a concentration in Art Education at the University of Iowa.

His practice lies at the intersection of culture, technology, and aesthetics. Drawing on historical bookbinding traditions and integrating digital technologies, Islam reimagines the role of the book in contemporary art. His work pushes the boundaries of book art, offering innovative approaches to how history and technology can coexist on the page. ",,"Cairo, Egypt",Africa,"30.0444, 31.2357",https://www.islamaly.com/
Issue Press,"Issue Press is a tiny publisher and Risograph print shop based in Grand Rapids, Michigan. Since 2011, it has worked with an elastic mandate to publish captivating works by artists of all mediums that trade in humor, history, and exploration of place.",2011,"Grand Rapids, Michigan, US",North America,"42.9704, -85.6722",https://issue.press/
ist publishing,"ist publishing is a small press on contemporary art, theory, anthropology, design, and photography based in Kyiv. Our books focus on researching contemporary art practices in Ukraine, including artbooks, photobooks, and comics. Another aspect of our work is committed to translating essential texts on art theory and history, philosophy of art, and sociology of culture by leading international researchers.",,"Kiev, Ukraine",Europe,"50.4504, 30.5245",https://istpublishing.org
JahJah Press,JahJah Press is an exercise in making for the maker's sake. Through this small-scale self publishing project I explore a range of topics from race identity and coming-of-age to broader issues of anti-capitalism and human connection. Books are my medium to relate to our wider social consciousness in an artful way.,,"Hartford, US",North America,"41.7658, -72.6734",https://asjhamalcolm.cargo.site/
Jiazazhi Press,"At JZZP, we are committed to building a platform that supports independent Chinese artists. In addition to photobooks and artists' books, we have recently introduced a new line of text-based publications that reflect our interest in the intersection of image and reality—particularly as it relates to the social, cultural, and political dynamics within China. Since our founding in 2011, JZZP has published over 60 titles. Our publications have been recognized by institutions such as the Aperture PhotoBook Awards, Les Rencontres d’Arles Book Awards, and the Kassel PhotoBook Award.",2011,"Ningbo, China",East Asia,"29.8683, 121.5440",https://jiazazhistore.com/
"Jordan, jordan Édition","Jordan, jordan Édition is an independent publisher dedicated to focusing on Indonesian artists, that explores photographic and other experimental mediums under a mission to initiate conversations around such issues, challenging social stigmas and channelling those who have been marginalized within Indonesia’s society.",,"Jakarta, Indonesia",Southeast Asia,"-6.1944, 106.8229",https://www.jordanjordan.co/index.html
Kaph Books,"Kaph Books is the leading publishing house in the Arab world specializing in visual arts and photography. Based in the UAE and in Lebanon, we specialize in high-quality art books featuring Arab artists and art practices. Our mission is to promote artists from the region and to document and archive our art history through an international distribution network that reaches worldwide audiences. Each book is unique, created in collaboration with the artist, editor and contributors, with an emphasis on exceptional technical and design quality.",,"Dubai, United Arab Emirates",Middle East,"25.2048, 55.2708",https://www.kaphbooks.com/
Kalā Kulo,"KALĀ KULO is an initiative that nurtures the flows and frictions of creative labor. We experiment with speculative praxis - where acts, thoughts, and relations are reimagined - to irrigate new constellations of ideas and kinships. Working across fields and frameworks of knowledge production, we embrace fluid, collaborative methodologies. In this digital articulation, we invite you to explore an emerging landscape of visual possibilities.",,"Patan Dhoka, Nepal",Southeast Asia,"27.6791, 85.3214",https://kalakulo.org/
Karo Akpokiere,"Karo Akpokiere is a Nigerian artist currently based in Hamburg, Germany. His work reflects his interest in storytelling across different cultural and material contexts. Karo Akpokiere’s art practice reflects his interests in drawing and storytelling. Deeply influenced by his graphic design background, he merges everyday experiences and observations to tell stories of personal and political significance. For Akpokiere, every drawing holds a million lives—lives unlocked through collaboration, and an engagement with diverse media, allowing them to exist in multiple contexts and be a part of daily life. Akpokiere's current long-term project, An Alternative History of Symbols and Their Meaning, reimagines the coats of arms of German federal states, cities, towns, and villages to depict a fictional state grappling with its identity and institutional collapse. The work explores themes of appropriation, production of meaning, reverse ethnology, and fiction’s role in shaping contemporary realities.",,"Lagos, Nigeria",Africa,"6.6137, 3.3553",https://karoakpokiere.com/
Kayfa ta,"Kayfa ta is a publishing initiative that uses the popular form of how-to manuals (how=kayfa, to=ta) to respond to some of today’s perceived needs; be they the development of skills, tools, thoughts, or sensibilities. These books situate themselves in the space between the technical and the reflective, the everyday and the speculative, the instructional and the intuitive, the factual and the fictional. Kayfa ta was founded in 2012 by Maha Maamoun and Ala Younis.",2012,"Cairo, Egypt",Africa,"30.0444, 31.2357",https://kayfa-ta.com/
Khabar Keslan,"Khabar Keslan Magazine is a bilingual (Arabic/English) review of the art and visual culture of the Middle East. We're based in Beirut, Lebanon where we publish our flagship magazine, comics, foldable posterzines, and broadsheet newspapers. We cover topics ranging from contemporary Afghan architecture to the street sign calligraphy of Beirut.",,"Beirut, Lebanon",Middle East,"33.8938, 35.5018",https://www.khabarkeslan.com/
Khajistan,"Khajistan is rescuing and digitizing overlooked histories from the Middle World. Khajistan archives banned and overlooked media from Indus to Maghreb. We preserve real life that somehow disappears from the official record.  We don’t follow archival standards. We publish in fragments because that’s how our history reaches us; smudged. We gather whatever survives and push it into the world’s information networks. Ones that are lopsided and biased. Khajistan believes in metadata as ijtihad. Each tag and each file name asks: What were we not allowed to remember? Leaflets that fell from the sky. Mujra posters. Madrassa books. Digests sold in silence. Photos. Tapes. Background scores. State propaganda. Zines no one kept. Footage no one wanted. Pictures pulled from your uncle’s porn stash. What slipped through, what rotted, what refuses to die. Khajistan saves it all. Not as heritage but as evidence of what was denied the right to shape our now. We buy from and work with hoarders, collectors, exiles, the politically silenced, the religiously condemned, the gendered and erased. They collected to stay sane under false man‑gods and their false man‑laws. Fragments that gave meaning to their oppressed existence in a world ruled by a one story. We are self-realized. After digitizing our originals, we sell them to UPenn, Princeton, Stanford, Columbia, the Library of Congress, and their likes, where they’re catalogued and sealed in temperature-controlled vaults. Those sales fund new acquisitions, book publications, the creation of a digital reader housing our scanned materials, and an 85,000-item regional meme archive. Self-funding keeps us free from grant politics and the whims of institutional gatekeepers.",,,Middle East,,https://khajistan.com/
Kikuyo Editorial,"Kikuyo Editorial is a collective rooted in the Andes (Quito & Santiago de Chile), crafting organic books that intertwine political urgency, experimental design, and situated knowledge. Our publications emerge from collective processes, embodying the liminal spaces where art, activism, and publishing converge, fostering ecosystems of thought, image, and resistance.",,"Quito, Ecuador",Latin America,"-0.2233, -78.5141",https://kikuyoeditorial.com/
Kong Temporary Archive,HK community-based publications Archive,,Hong Kong,East Asia,"22.3193, 114.1694",https://www.kongtemparchive.com/
Kult Books,"Kult Books is an independent publishing project for photography and other lens-based visual arts founded by Janne Riikonen in Stockholm, Sweden. Kult Books publishes monographs and artist books that embrace a personal artistic vision and visual language. The publications are created in close collaboration with the artists, the physical form designed to support the concept of the work.",,"Stockholm, Sweden",Europe,"59.3327, 18.0656",https://kultbooks.com/
kuš!,"kuš! (speak koosh!) is a comic art publisher from Latvia founded in Riga in 2007. It is most well known for its signature pocket-sized anthologies and its mini-kuš! series. The aims of kuš! are to popularize comics in a country where this medium is practically non-existent and to promote Latvian comics abroad. kuš! doesn't just publish paper-back comic books, it also organizes exhibitions, workshops, residencies, comic jams and other comic related events, as well as traveling to international festivals to spread the Latvian comic fever.",2007,"Riga, Latvia",Europe,"56.9677, 24.1056",https://www.komikss.lv/
kyklàda.press,"kyklàda.press is a series of books made in Athens engaging with phenomena in the Aegean Archipelago. Driven by a trans-disciplinary team and directed by David Bergé, kyklàda.press explores material, critical, and experimental forms of writing. kyklàda.press currently has 13 titles in its catalogue, woven along the following keywords: human geography, archipelago topographies and urbanism, archaeology of moods and emotions, historical (dis)continuities, gender fluidity, non-patriarchy, material and corporeal writings, public health, and healing.",,"Athens, Greece",Europe,"37.9838, 23.7275",https://www.kyklada.press/
Lemonade Press,"Lemonade is a publishing imprint exploring wild ideas from the overlooked corners of the American West. Lemonade is a fun-sized magazine that charts alternative courses through the cosmic chaos. It doesn’t promise to change the world but invites you to rethink daily practices and your relationship with the big, giant, totalistic apparatus that underpins everything. Through a series of interviews with designers, artists, and thinkers, each issue explores critical connections between a multiplicity of ideas from the past and present. It’s a playful wrench in an insane system – a way of living, being, and perceiving. Grow out your hair, grab a copy of Lemonade, and free yourself from the ego’s twisted grip.",,"San Francisco, US",North America,"37.7749, -122.4194",https://lemonade.press/pages
Libri Finti Clandestini,"Libri Finti Clandestini is a cosmopolitan artistic collective formed by artists El Pacino, Aniv Delarev and Yghor Kowalvsky that bases its work and research on the artist's book. Founded in Rome in the summer of 2012 and subsequently established in Milan in the following years, the Libri Finti Clandestini project was born with the aim of creating real books using only “ found paper ”, the kind of paper that people normally consider rubbish. By exploiting materials with the most heterogeneous pedigree possible (coming from abandoned factories around Europe, libraries, warehouses, paper mills, archives and printing laboratories…), the project began with the creation of books and sketchbooks patiently assembled one by one, hand-bound, stamped, numbered and entrusted to illustrators, printers and artists to be “completed” or offered to an audience that could decide their fate: ready to be written on, drawn on or to take on whatever meaning the owner wishes to give them. Subsequently, production also focused on the production of  single-copy books and small pop-up editions , whose bizarre characters from the late 19th/early 20th century imagination move and come to life when the pages are opened. The main feature of the project is the creation process with (almost) zero impact on the environment , thus investigating and experimenting in the field of recycling and degrowth. By dedicating much time and attention to researching materials for their reuse with the aim of hand-producing drawable supports, over the years the LFC project has expanded into other artistic directions, beyond the editorial one, always in the name of experimentation, investigating the fields of photography, urban exploration and letterpress , collaborating with 5X Letterpress since the beginning of 2018.",2012,"Milan, Italy",Europe,"45.4685, 9.1824",https://librifinticlandestini.bigcartel.com/
Lichen Books,"We are a small publishing company based in London, publishing books of artists around the world. Founded by design studio All Purpose and artist Lucas Dupuy in 2020 as an outlet to design and publish books by both emerging and established artists, whilst keep them accessibly priced. Our books are stocked worldwide, and to date, have released publications with Gray Wielebinski, Peter Sutherland, Athen Kardashian & Nina Mhach Durban, Russell Maurice and more.",2020,"London, UK",Europe,"51.5072, -0.1276",https://lichen-books.org/
Limestone Books,"Limestone Books was founded in 2022 in Maastricht, The Netherlands, we sell art books with a particular focus on non-Western perspectives and underrepresented voices.",2022,"Maastricht, the Netherlands",Europe,"50.8514, 5.6910",https://www.instagram.com/limestone_books_maas/
Local Gr0up,"Local Gr0up is a Ukrainian platform dedicated to showcasing experimental visions of contemporary artists. Since emerging in February 2021, it has functioned as a system of creative research and publication. Each project unfolds through film screenings, exhibitions and printed matter, not as a space but as constellation of enthusiasts.",2021,"Kiev, Ukraine",Europe,"50.4504, 30.5245",https://localgr0up.com/
Loneliness Books,"“Loneliness Books” is an independent publisher and bookstore in Tokyo, curating books on queer and gender issues in Asia.",,"Tokyo, Japan",East Asia,"35.6764, 139.6500",https://qpptokyo.com/about
lupemacanudo,"I am an independent artist and self-publisher who creates hand-drawn zines and artist books in limited editions. My practice is rooted in intimacy, memory, and the poetry of everyday life. I draw by hand, inspired by childhood memories, the light entering through a window, and the fragile beauty of objects that carry invisible stories. Each publication is produced with dedication and care, often printed in risograph and crafted as a limited edition. For me, these small books are not only containers of drawings and words, but also artist books: unique objects that preserve fragility, imperfection, and the human touch. I see every edition as a tangible form of poetry — a way to transform personal emotions into shared narratives. Through self-publishing, I build connections between my inner world and others, turning zines into spaces of encounter, dialogue, and reflection.",,Bolivia,Latin America,"-16.2902, -63.5887",https://lupemacanudo.com/category/zines/
M12 Studio,"M12 Studio is a collective based in the Great Plains and Rocky Mountain West, dedicated to connecting rural communities, the environment, design, and public art. We create artworks, research projects, and education initiatives centered around context and place.",,"Denver, Colorado, US",North America,"39.7392, -104.9903",https://m12studio.org/
A Magic Mountain,"A Magic Mountain is the publishing practice of Bay Area artist Alex Arzt and a risograph press that prints West Coast based artists’ projects with research-based, interdisciplinary, or collaborative practices.",,"Oakland, US",North America,"37.8044, -122.2712",https://www.amagicmountain.com/
Makan Press,Makan Press is a New York based artist-run photo book publication house that aims to support the work of immigrant artists and those from countries of conflict and beyond. The press is operated by Yemeni American artist Ibi Ibrahim.,,"New York, US",North America,"40.7128, -74.0060",https://www.frommakan.com/
Max Pinckers,"Max Pinckers (1988, BE) grew up in Indonesia, India, Australia and Singapore, and is currently based in Brussels, where he was born. His work challenges the conventions of documentary photography by exploring theatricality, performativity and collaboration within documentary and photojournalism, made visible through the explicit use of cinematic lighting and staging in a documentary context. Photography, for Pinckers, is a speculative gesture that involves more than the mere representation of external realities. His approach to reality and truth is plural and malleable, open to articulation in different ways. Like the external world that it claims to represent, the documentary image is inherently unstable, dependent on context and the customary visual language of realism. Pinckers’ work draws on contemporary and historical debates, merging fact, fiction and imagination to reflect on the ways that our shared realisms are defined and represented through photographs. It treats documentary as a hybrid practice involving not just images, but objects, performances, texts, found footage and sculptural interventions that investigate the complex nature of representation. Collaboration is essential to Pinckers’ practice, creating a space for the exchange of ideas between himself and the people he works with, and for the critical examination of his own position as a photographer. Ultimately, Pinckers’ self-reflexive work sets out to question both documentary discourse and artistic practice—to create other modes of documentary that foreground the deceptive nature of images yet always emotionally and empathically engage with people and their stories. Max Pinckers’ work explores the critical, technological, and ideological structures that surround the production and consumption of documentary images. Documentary photography, for Pinckers, involves more than the representation of an external reality: it’s a speculative process that approaches reality and truth as plural, malleable notions open to articulation in different ways.",,"Brussels, Belgium",Europe,"50.8477, 4.3572",https://www.maxpinckers.be/
Metatron Press,"Metatron Press is an award-winning independent publisher based in Montréal / Tio’tia:ke. Since 2014, we’ve been committed to publishing bold new voices in poetry, hybrid literature, and genre-defying work. We focus on emerging writers and underrepresented perspectives, creating space for writing that challenges, transforms, and connects. We publish work that is intimate, urgent, and formally inventive—writing that blends the poetic with the philosophical, the personal with the digital, the speculative with the political. Our authors push the boundaries of genre and language, offering fresh visions of what literature can be. Our titles often move between the literary and the experimental, crossing into digital, visual, and performative realms. We support our authors through close editorial collaboration, thoughtful design, and forward-thinking publishing models. Metatron is a home for writing that feels ahead of its time—literature that reimagines the present and invites the future.",2014,"Montréal, Canada ",North America,"45.5019, -73.5674",https://metatron.press/
Microcosm Publishing,"Microcosm Publishing is an independent publisher and distributor based in Portland, Oregon. Microcosm describes itself as having “a reputation for teaching self-empowerment, showing hidden histories, and fostering creativity through challenging conventional publishing wisdom, influencing other publishers large and small with books and bookettes about DIY skills, food, zines, and art. Microcosm focuses on relating the experiences of what it’s like to be a marginalized person and strives to be recognized for spirit, creativity, and value. All books are printed in the U.S. on post-consumer papers, and the company doubles the industry average in number of women authors. Microcosm constantly poses the question “How can we remove barriers to success for marginalized people in our industry?”",1996,"Portland, Oregon, US",North America,"45.5152, -122.6784",https://microcosmpublishing.com/
microutopías,"microutopías is a Uruguayan publication studio, it is oriented toward art books, zine production, and risograph pressings rooted in micropolitical artistic works in the collective construction of new dissident narratives from the South. We explore the graphic resource as a narrative element of the works, expanding its interpretations and the creation of meaning and subjectivities in the readers. Publishing as an artistic practice. Publishing as collective creation. Publishing as an exercise in political imagination. Publishing as a proposal for other ways of doing. Publishing as assumed and problematized privilege. Publishing as a decolonizing micropolitical performance. Publishing as the possibility of finding allies. Publishing as the generation of micro-utopias.",2020,"Montevideo, Uruguay",Latin America,"-34.9055, -56.1851",https://www.instagram.com/microutopiaspress
MOM,"Founded in 2019, MOM is a multifaceted, artist run publishing house, studio, events company and gallery, dedicated to the publication and support of emerging artists based in film, photography, design, visual arts, music and writing. Their focus lies in the creation of well-crafted and affordable books, exhibitions, merchandise, films and prints that showcase what they wish to see in the world. MOM publications showcase the work of artists purely based on their vision and intent rather than their notoriety, allowing for a nurturing and encouraging space for established and un-established artists to have their work seen. With this, they hope to reflect an environment of equality and understanding within like-minded communities both immediate and abroad.",2019,"Thornbury, Australia",Oceania,"-37.7596, 145.0005",https://loveyoumom.net/
Moniker Press,"Moniker Press is a small risograph print studio and publishing project in Vancouver, BC, Canada, that works collaboratively with artists to produce small editions of books, zines and print ephemera.",2014,"Vancouver, Canada",North America,"49.2827, -123.1207",https://moniker-press.square.site/
morrowdragon,"Growing up between small cities, Macau and Hong Kong, his approaches focus on queer experiences, the cityscape and the narrative nature of the human connection.",,"UK, Hong Kong, Macau",East Asia,"22.1987, 113.5439",https://www.morrowdragon.com/
Mosaïques,"Mosaïques is an independant cultural magazine borned in 2010. It aim is to contribute to build an internal discourse on arts, cultures and ideas from Africa and its diasporas. It is a benevolent initiative that brings together cultural journalists, artists and researchers. It appears in kiosks monthly and combine short and long papers. Beside the magazine, we also publish books in cooperation with other publishers from Africa and abroad. Since the beginning, Mosaïques is financed by individuals and has not yet got asustainable support from institution or comapgnies.",2010,"Yaoundé, Cameroon",Africa,"3.8617, 11.5202",https://mosaiques.africa/
Multipress,"Multipress is a non-profit publisher for artist books and publications based in Oslo, Norway. With an emphasis on photography, it is run as a platform for artists working with publications as an artistic practice. All of the book projects are a result of a collaborative effort, thoroughly working out all the elements specific to each project. Multipress has worked with a wide range of artists, from all over the world. Multipress was founded in 2000 and is run by Marte Aas and Line Bøhmer Løkken.",2000,"Oslo, Norway",Europe,"59.9122, 10.7313",https://multipressforlag.com/
Nearest Truth Editions,"Nearest Truth Editions is a new publishing imprint that offers an alternative to the existing publishing houses. This is a new model which functions on transparency and cooperation, helping artists to make their photobooks and profit from the selling process. It is collaborative and looks to demystify the reality of publishing photobooks in the contemporary market. It is born from a dissatisfaction with artists paying publishers to make their books only to receive none of the profits. It is also born from working with artists through our Year-Long Photobook program. Nearest Truth Editions acts as an agent for self-publishing your book and will collaborate with you at every stage whilst helping keep costs down. We do not pay to produce your books. We are not a publisher with a pay-to-play scheme. This is a new model based on collaboration focusing on putting transparent cost analysis and artist development to the forefront.  ",,"Bratislava, Slovakia",Europe,"48.1478, 17.1072",https://www.nearesttrutheditions.com/books
Nero,"NERO is an international publishing house devoted to art, criticism and contemporary culture. Founded in Rome in 2004, it publishes artists’ books, catalogs, editions and essays. NERO explores present and future imaginaries beyond any field of specialization, format or code – as visual arts, music, philosophy, politics, aesthetics or fictional narrations – extensively investigating unconventional perspectives and provocative outlooks to decipher the essence of this ever changing reality.",2004,"Rome, Italy",Europe,"41.8967, 12.4822",
Nitta Masanori,"I frequent the area in Brazil that juts out most into the Atlantic Ocean (a key point for bringing slaves from Africa) and take a collection of photographs centered on favelas (slums) and the religions practiced by the African descendants who live there. I believe that risograph printing (Riso), which combines roughness with good color development, is the best method of output, and in recent years I have focused on making Riso books. With the Riso series ""GRAIN,"" which is published every other month in 100-150 copies, I have repeatedly attempted to expand the expression in the field of photographic printing.",,"Kyoto, Japan",East Asia,"35.0116, 135.7681",https://explodeco.thebase.in/
NO NIIN,"NO NIIN is an independent online magazine at the cusp of art, criticality, and love; founded in Helsinki in 2021 by Elham Rahmati & Vidha Saumya. NO NIIN absorbs the disruptive sparks emerging from the intersectional art and culture environs that counter the status quo, aspiring to develop them as springboards for new ways of thinking and working towards hope, liberation, and building internationalist, feminist, anti-colonial and anti-imperialist solidarities. We want NO NIIN to be a critical locus for discourse and provoke difficult conversations—to call for more imaginative and unorthodox approaches to talk back to institutions, explain, defend, complain, and even complicate the picture. We wish to foster a non-discriminatory culture of communication in the arts—breaking down our facts into simple language and ideas that people can comprehend without struggling over syntax. We want to redefine what “global” means in art. Instead of measuring internationalism by proximity to prestige or capital, we want to recognise and uplift artistic voices and practices from places that are often sidelined or deemed peripheral in the global art conversation. More than “giving a voice”, we’ve made an effort to open a space for a way of living art in the contemporary world. NO NIIN is not a publication of/for victims or a benevolent patronizing gesture of making something weak and powerless visible. We want NO NIIN to be triumphant and imaginative—to speak of the world not only as it is, but as we know and feel it can be.",2021,"Helsinki, Finland",Europe,"60.1699, 24.9384",https://no-niin.com/
NoRoutine Books,"NoRoutine Books is an independent publishing initiative dedicated to designing unique fine art books. All publications are limited to 99 copies with unique elements such as original print, found photo or object. Post‐printing processes are finalized in the studio. NoRoutine Books works closely with artists to conceptualize their works in book format. We ask artists to push the boundaries of their practice and experiment with processes. Often the book becomes an extension of the art piece. The platform was founded by two artists, Vilma Samulionytė and Gytis Skudzinskas, in 2014.",2014,"Vilnius, Lithuania",Europe,"54.6872, 25.2797",http://www.nrb.lt/
Northing / Kinakaal forlag,"Northing—Centre for East Asian Art and Culture from Bergen, Norway, promotes cultural exchange between Norway and East Asia. Northing runs Kinakaal forlag (Chinese cabbage publisher) to facilitate direct contact and cooperation between East-Asian and Norwegian artists through publication projects. Kinakaal has won four times in the Most Beautiful Norwegian Books for the Year competition and received multiple international design awards.",,"Bergen, Norway",Europe,"60.3913, 5.3221",https://www.northing.no/
nos:books,"nos:books is an independent publisher founded by artist Son Ni in 2008 in Taipei. We strive to realize artists' ideas and concepts in unique book forms. Our books are limited edition works by artists from Taiwan and abroad. From 2020 on, we also run a space about books called nos:bookspace.",2008,"Taipei, Taiwan",East Asia,"25.0330, 121.5654",https://www.nosbooks.com/
Not just a collective,"Not Just a Collective consists of a group of multidisciplinary artists, researchers and designers who share a common desire to discuss artistic progress and create a space for emerging international artists. To work on a supporting framework together, Not Just a Collective set out to host a series of art and cultural activities contributing to multi-disciplinary practices in art ecology. Moreover, it is not only a collective in conventional perception, but also a community aiming to breed new initiatives and foster cultural participation by facilitating accessibility",,"Arnhem, the Netherlands",Europe,"51.9851, 5.8987",http://notjustacollective.nl/#/archive
